store_id,clinic_name,store_name,Zipcode,adress,access
tcb_093,TCB,徳島院,〒770-0831,徳島県徳島市寺島本町西1-61-4 セントラルビル 2F,JR徳島駅から徒歩1分
tcb_094,TCB,福岡天神院,〒810-0001,福岡県福岡市中央区天神2-7-6 DADAビル 6F,"西鉄福岡（天神）駅北口から徒歩５分, 地下鉄天神駅から徒歩4分"
tcb_095,TCB,小倉院,〒802-0003,福岡県北九州市小倉北区米町1-1-1 小倉駅前ひびきビル 4F,"JR小倉駅から徒歩3分, 北九州モノレール小倉線 平和通駅から徒歩1分"
tcb_096,TCB,福岡博多院,〒812-0013,福岡県福岡市博多区博多駅東2-4-6 ハカタベビル 3F,"JR博多駅筑紫口から徒歩3分, 地下鉄博多駅西1口から徒歩5分"
tcb_097,TCB,久留米院,〒830-0032,福岡県久留米市東町39-8 第21上野ビル 3F,天神大牟田線 西鉄久留米駅から徒歩3分
tcb_098,TCB,西鉄福岡天神駅前院,〒810-0001,福岡県福岡市中央区天神1-4-1 西日本新聞会館 15F,"福岡市地下鉄 天神南駅から徒歩1分, 西日本鉄道 西鉄福岡（天神）駅から徒歩3分"
tcb_099,TCB,鹿児島院,〒890-0053,鹿児島県鹿児島市中央町11 鹿児島中央ターミナルビル 2F,JR鹿児島中央駅から徒歩3分
tcb_100,TCB,熊本院,〒860-0845,熊本県熊本市中央区上通町1-26 aune熊本 8F,熊本市電 通町筋停留所から徒歩1分
tcb_101,TCB,宮崎院,〒880-0812,宮崎県宮崎市高千穂通2-6-18 NMビル 7F,JR宮崎駅から徒歩2分
tcb_102,TCB,長崎院,〒850-0057,長崎県長崎市大黒町14-5 ニュー長崎ビルディング 2F（ホテルニュー長崎 2F）,JR長崎駅から徒歩5分
tcb_103,TCB,佐賀院,〒840-0801,佐賀県佐賀市駅前中央1-4-17 コムボックス佐賀駅前 2F,JR佐賀駅から徒歩1分
tcb_104,TCB,大分院,〒870-0021,大分県大分市府内町2-1-4 トキハ会館 2F,JR大分駅から徒歩7分
tcb_105,TCB,那覇院,〒900-0015,沖縄県那覇市久茂地1-1-1 パレットくもじ 9F 902,沖縄都市モノレール線ゆいレール 県庁前駅から徒歩1分
shinagawa_001,品川美容外科,品川美容外科 品川本院,〒108-0075,東京都港区港南2-5-3 オリックス品川ビル9F,JR品川駅 港南口より徒歩約3分
shinagawa_002,品川美容外科,品川スキンクリニック 品川本院,〒108-0075,東京都港区港南2-5-3 オリックス品川ビル6F,JR品川駅 港南口より徒歩約3分
shinagawa_003,品川美容外科,品川美容外科 新宿院,〒151-0053,東京都渋谷区代々木2-9-2 久保ビル6F,JR新宿駅「南口」より徒歩約3分
shinagawa_004,品川美容外科,品川スキンクリニック 新宿院,〒151-0053,東京都渋谷区代々木2-9-2 久保ビルB2,JR新宿駅「南口」より徒歩約3分
shinagawa_005,品川美容外科,品川美容外科 渋谷院,〒150-0043,東京都渋谷区道玄坂2-3-2 大外ビル4F,JR渋谷駅 ハチ公改札より徒歩約1分
shinagawa_006,品川美容外科,品川スキンクリニック 渋谷院,〒150-0043,東京都渋谷区道玄坂2-3-2 大外ビル9F,JR渋谷駅 ハチ公改札より徒歩約1分
shinagawa_007,品川美容外科,品川スキンクリニック 表参道院,〒107-0061,東京都港区北青山3-11-7 Aoビル10F,東京メトロ「表参道駅」B2出口より徒歩1分
shinagawa_008,品川美容外科,品川美容外科 池袋院,〒170-0013,東京都豊島区東池袋1-13-6 ロクマルゲート池袋9F,JR池袋駅 東口より徒歩約3分
shinagawa_009,品川美容外科,品川スキンクリニック 池袋院,〒170-0013,東京都豊島区東池袋1-13-6 ロクマルゲート池袋8F,JR池袋駅 東口より徒歩約3分
shinagawa_010,品川美容外科,品川美容外科 銀座院,〒104-0061,東京都中央区銀座1-3-9 マルイト銀座ビル3F,JR有楽町駅 京橋口より徒歩約3分
shinagawa_011,品川美容外科,品川スキンクリニック 銀座院,〒104-0061,東京都中央区銀座1-3-9 マルイト銀座ビル4F,JR有楽町駅 京橋口より徒歩約3分
shinagawa_012,品川美容外科,品川美容外科 上野院,〒110-0005,東京都台東区上野2-6-12 上野東洋ビル4F,JR上野駅 不忍口より徒歩約5分
shinagawa_013,品川美容外科,品川スキンクリニック 上野院,〒110-0005,東京都台東区上野2-6-12 上野東洋ビル3F,JR上野駅 不忍口より徒歩約5分
shinagawa_014,品川美容外科,品川スキンクリニック 立川院,〒190-0012,東京都立川市曙町2-8-5 シネマシティビル13F,JR立川駅 北口より徒歩約5分
shinagawa_015,品川美容外科,品川美容外科 町田院,〒194-0013,東京都町田市原町田6-9-19 コビルナ町田5F,小田急線町田駅 西口より徒歩約1分
shinagawa_016,品川美容外科,品川美容外科 横浜院,〒220-0011,神奈川県横浜市西区高島2-13-12 崎陽軒ビル ヨコハマジャスト3号館7F,JR横浜駅 東口より徒歩約2分
shinagawa_017,品川美容外科,品川スキンクリニック 横浜院,〒220-0004,神奈川県横浜市西区北幸1-1-8 エキニア横浜6F,JR横浜駅 西口より徒歩約1分
shinagawa_018,品川美容外科,品川美容外科 大宮院,〒330-0854,埼玉県さいたま市大宮区桜木町2-1-1 アルシェ8F,JR大宮駅 西口より徒歩約1分
shinagawa_019,品川美容外科,品川スキンクリニック 大宮院,〒330-0854,埼玉県さいたま市大宮区桜木町2-1-1 アルシェ8F,JR大宮駅 西口より徒歩約1分
shinagawa_020,品川美容外科,品川スキンクリニック 宇都宮院,〒321-0969,栃木県宇都宮市宮みらい1-1 ウツノミヤテラス5F,JR宇都宮駅 東口より徒歩約1分
shinagawa_021,品川美容外科,品川スキンクリニック 千葉院,〒260-0028,千葉県千葉市中央区新町1000番地 センシティタワー22F,JR千葉駅 東口より徒歩約2分
shinagawa_022,品川美容外科,品川スキンクリニック 札幌院,〒060-0807,北海道札幌市北区北7条西一丁目2番地6 NCO札幌7F,JR札幌駅 北口より徒歩約2分
shinagawa_023,品川美容外科,品川美容外科 仙台院,〒980-0021,宮城県仙台市青葉区中央1-3-1 AER（アエル）29F,JR仙台駅 西口より徒歩約2分
shinagawa_024,品川美容外科,品川スキンクリニック 新潟院,〒950-0901,新潟県新潟市中央区弁天1-1-22 東信新潟ビル2F,JR新潟駅 万代口より徒歩約1分
shinagawa_025,品川美容外科,品川美容外科 名古屋院,〒450-0002,愛知県名古屋市中村区名駅2-45-19 桑山ビル2F,JR名古屋駅 桜通口より徒歩約5分
shinagawa_026,品川美容外科,品川スキンクリニック 名古屋院,〒450-0002,愛知県名古屋市中村区名駅2-45-19 桑山ビルB1,JR名古屋駅 桜通口より徒歩約5分
shinagawa_027,品川美容外科,品川美容外科 静岡院,〒422-8067,静岡県静岡市駿河区南町14-25 エスパティオ2F,JR静岡駅 南口より徒歩約1分
shinagawa_028,品川美容外科,品川美容外科 梅田院,〒530-0001,大阪府大阪市北区梅田1-11-4 大阪駅前第4ビル6F,JR大阪駅 中央南口より徒歩約5分
shinagawa_029,品川美容外科,品川スキンクリニック 梅田院,〒530-0001,大阪府大阪市北区梅田1-11-4 大阪駅前第4ビル6F,JR大阪駅 中央南口より徒歩約5分
shinagawa_030,品川美容外科,品川美容外科 心斎橋院,〒542-0081,大阪府大阪市中央区南船場4-3-2 ゼント心斎橋8F,地下鉄御堂筋線「心斎橋駅」3番出口より徒歩約2分
shinagawa_031,品川美容外科,品川スキンクリニック 京都院,〒600-8216,京都府京都市下京区烏丸通七条下ル 東塩小路町735-1 京阪京都ビル5F,JR京都駅 烏丸中央口より徒歩約5分
shinagawa_032,品川美容外科,品川スキンクリニック 神戸院,〒650-0021,兵庫県神戸市中央区三宮町1-2-1 日住神戸三宮ビルディング5F,JR三ノ宮駅 西口より徒歩約5分
shinagawa_033,品川美容外科,品川スキンクリニック 岡山院,〒700-0902,岡山県岡山市北区錦町6-1 両備ビル5F,JR岡山駅 東口より徒歩約2分
shinagawa_034,品川美容外科,品川スキンクリニック 広島院,〒730-0031,広島県広島市中区紙屋町2-2-2 紙屋町ビル5F,広島電鉄「紙屋町西」電停より徒歩0分
shinagawa_035,品川美容外科,品川美容外科 福岡院,〒810-0021,福岡県福岡市中央区今泉1-20-2 天神MENTビル2F,西鉄「福岡（天神）駅」南口より徒歩約5分
shinagawa_036,品川美容外科,品川スキンクリニック 福岡院,〒810-0021,福岡県福岡市中央区今泉1-20-2 天神MENTビル2F,西鉄「福岡（天神）駅」南口より徒歩約5分
shinagawa_037,品川美容外科,品川スキンクリニック 鹿児島院,〒890-0053,鹿児島県鹿児島市中央町19-40 Li-Ka1920 7F,JR「鹿児島中央駅」直結
shinagawa_038,品川美容外科,品川スキンクリニック 熊本院,〒860-0012,熊本県熊本市中央区紺屋今町1-1 シティ12ビル5F,熊本市電「辛島町」電停より徒歩約1分
shinagawa_039,品川美容外科,品川スキンクリニック 沖縄院,〒900-0006,沖縄県那覇市おもろまち1-1-12 那覇新都心センタービル1F,沖縄都市モノレール線「おもろまち駅」より徒歩約5分
luna_001,LUNAビューティークリニック,銀座院,〒104-0061,東京都中央区銀座４丁目８-４三原ビルディング 2階,銀座駅A7出口より徒歩3分
luna_002,LUNAビューティークリニック,池袋駅前院,〒170-0013,東京都豊島区東池袋1-21-1 ラグーン池袋ビル7階,JR池袋駅35番出口より徒歩5分
seishin_001,聖心美容クリニック,札幌院,〒060-0005,北海道札幌市中央区北５条西2-5 JRタワーオフィスプラザさっぽろ15F,JR「札幌駅」直結 [1]
seishin_002,聖心美容クリニック,大宮院,〒106-0032,東京都港区六本木6-6-9 ピラミデ2F,東京メトロ日比谷線「六本木駅」3番出口より徒歩3分、都営大江戸線「六本木駅」3番出口より徒歩3分 [2]
seishin_003,聖心美容クリニック,銀座院,〒104-0061,東京都中央区銀座1丁目9-13 プライム銀座柳通りビル9F,東京メトロ「銀座駅」C2出口より徒歩2分、JR「有楽町駅」銀座口より徒歩5分 [3]
seishin_004,聖心美容クリニック,六本木院,〒330-0854,埼玉県さいたま市大宮区桜木町1丁目133-2 医療モール WelBe 5F,JR「大宮駅」西口より徒歩5分 [4]
seishin_005,聖心美容クリニック,横浜院,〒221-0835,神奈川県横浜市神奈川区鶴屋町2-24-1 谷川ビルANNEX 7F,JR「横浜駅」きた西口より徒歩4分 [5]
seishin_006,聖心美容クリニック,熱海院,〒413-0011,静岡県熱海市田原本町4-16 伊東園ホテル熱海館1F,JR「熱海駅」より徒歩3分 [6]
